id	source	Description	rnaseq_gene_count_Pcub_MSU1_3dpi	rnaseq_gene_count_Pcub_MSU1_4dpi	rnaseq_gene_count_Pcub_MSU1_5dpi	rnaseq_gene_count_Pcub_MSU1_6dpi
Pcub-MSU1_001_000850.1	unannotated	Hypothetical protein of unknown function	0	1	3	6
Pcub-MSU1_001_000849.1	blastp	Homology to Phytophthora sojae predicted protein XP_009519978.1	7	17	18	33
Pcub-MSU1_001_000848.1	eggnog	domain-containing protein	125.883	89.814	118.135	284.54
Pcub-MSU1_001_000847.1	eggnog	domain-containing protein	79.641	60.785	117.785	261.816
Pcub-MSU1_001_000846.1	eggnog	domain-containing protein	4.556	1.213	8.007	9.284
Pcub-MSU1_001_000109.1	eggnog	domain-containing protein	0	0	0	0
Pcub-MSU1_001_000110.1	eggnog	domain-containing protein	2.919	6.188	34.073	43.36
Pcub-MSU1_001_000845.1	eggnog	histone-lysine N-methyltransferase activity	11	25	38	27
Pcub-MSU1_001_000111.1	eggnog	RNA polymerase III subunit RPC82	11	9	49	118
Pcub-MSU1_001_000112.1	eggnog	domain-containing protein	1	1	0	2
Pcub-MSU1_001_000844.1	eggnog	Electron transfer flavoprotein-ubiquinone oxidoreductase, 4Fe-4S	661	657	1152	1562
Pcub-MSU1_001_000843.1	eggnog	domain-containing protein	7	16	14	7
Pcub-MSU1_001_000113.1	eggnog	domain-containing protein	0	0	0	0
Pcub-MSU1_001_000114.1	eggnog	domain-containing protein	15	28	20	59
Pcub-MSU1_001_000842.1	eggnog	RNA recognition motif	12	12	15	18
Pcub-MSU1_001_000115.1	eggnog	Protein tyrosine kinase	19	25	55	153
Pcub-MSU1_001_000116.1	blastp	Homology to Phytophthora idaei predicted protein KAG3119115.1	1	7	7	4
Pcub-MSU1_001_000117.1	interproscan	PTHR33690 domain-containing protein	3.607	24	8	25.674
Pcub-MSU1_001_000841.1	eggnog	Protein tyrosine kinase	0	0	0	1.307
Pcub-MSU1_001_000118.1	blastp	Homology to Phytophthora cactorum predicted protein KAG6961826.1	0	0	0	7
Pcub-MSU1_001_000119.1	eggnog	Protein tyrosine kinase	0	0	1	5.693
Pcub-MSU1_001_000840.1	unannotated	Hypothetical protein of unknown function	0	0	0	1
Pcub-MSU1_001_000839.1	blastp	Homology to Phytophthora cinnamomi predicted protein KAG6623568.1	11.393	2	3	1.326
Pcub-MSU1_001_000838.1	eggnog	Kinase-like	8	17	18	4
Pcub-MSU1_001_000837.1	blastp	Homology to Phytophthora cactorum predicted protein KAG2782523.1	1	1	2	2
Pcub-MSU1_001_000120.1	eggnog	Acyltransferase C-terminus	151	339	341	368
Pcub-MSU1_001_000836.1	eggnog	EF-hand domain pair	0	0	0	0
Pcub-MSU1_001_000835.1	eggnog	domain-containing protein	0	0	0	1.025
Pcub-MSU1_001_000121.1	eggnog	Protein tyrosine kinase	85	194	201	243
Pcub-MSU1_001_000834.1	eggnog	Component of the endosomal sorting complex required for transport II (ESCRT-II), which is required for multivesicular body (MVB) formation and sorting of endosomal cargo proteins into MVBs	34	12	75	82
Pcub-MSU1_001_000122.1	eggnog	Signal recognition particle receptor beta subunit	315	857	924	1161
Pcub-MSU1_001_000123.1	eggnog	domain-containing protein	26	42	114	151.975
Pcub-MSU1_001_000124.1	unannotated	Hypothetical protein of unknown function	0	0	0	0
Pcub-MSU1_001_000125.1	blastp	Homology to Phytophthora lilii predicted protein GMF65844.1	0	0	0	8
Pcub-MSU1_001_000126.1	eggnog	Sodium/hydrogen exchanger family	10	17	33	41
Pcub-MSU1_001_000833.1	eggnog	domain-containing protein	0	3	45	55
Pcub-MSU1_001_000832.1	eggnog	SRR1	3	7	18	38
Pcub-MSU1_001_000831.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7386076.1	0	3	5	2
Pcub-MSU1_001_000127.1	eggnog	Kinesin motor, catalytic domain. ATPase	51	29	107	181
Pcub-MSU1_001_000830.1	eggnog	ubiquitinyl hydrolase activity	14	15	48	78
Pcub-MSU1_001_000128.1	interproscan	PTHR37031 domain-containing protein	62	31	63	149
Pcub-MSU1_001_000829.1	eggnog	Mitochondrial ATP synthase B chain precursor (ATP-synt_B)	716	788	1313	1504
Pcub-MSU1_001_000828.1	eggnog	EF-hand domain pair	11	6	2	54
Pcub-MSU1_001_000827.1	interproscan	PTHR40430 domain-containing protein	5	6	14	26
Pcub-MSU1_001_000129.1	eggnog	Protein present in Fab1, YOTB, Vac1, and EEA1	53	94	178	262
Pcub-MSU1_001_000826.1	eggnog	Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)	23	13	39	96
Pcub-MSU1_001_000130.1	eggnog	rRNA processing/ribosome biogenesis	4	16	48	68
Pcub-MSU1_001_000825.1	eggnog	Magnesium transporter NIPA	24	68	52	87
Pcub-MSU1_001_000131.1	eggnog	Transferase family	42	18	27	81
